bit,flip_frac
959,0.01
960,0.0086
961,0.0072
962,0.0082
963,0.0118
964,0.0108
965,0.0096
966,0.0096
967,0.0092
968,0.0112
969,0.0084
970,0.0116
971,0.0078
972,0.0068
973,0.011
974,0.0106
975,0.01
976,0.011
977,0.0092
978,0.0084
979,0.0094
980,0.0104
981,0.0104
982,0.0092
983,0.008
984,0.009
985,0.0132
986,0.0092
987,0.014
988,0.0074
989,0.0078
990,0.0112
991,0.0098
992,0.0088
993,0.0076
994,0.0122
995,0.0108
996,0.0074
997,0.009
998,0.0114
999,0.0058
1000,0.0116
1001,0.009
1002,0.013
1003,0.01
1004,0.0098
1005,0.0076
1006,0.0078
1007,0.0104
1008,0.0112
1009,0.008
1010,0.0116
1011,0.009
1012,0.0102
1013,0.0092
1014,0.0082
1015,0.007
1016,0.009
1017,0.0088
1018,0.0098
1019,0.0088
1020,0.0096
1021,0.009
1022,0.0102
1023,0.0104
