language,encoder,maxlen,R10
id,MiniLM-L12-v2,256,73.24
it,MiniLM-L12-v2,64,61.68
it,MiniLM-L12-v2,128,61.68
it,MiniLM-L12-v2,256,61.68
ja,MiniLM-L12-v2,64,68.7
ja,MiniLM-L12-v2,128,68.7
ja,MiniLM-L12-v2,256,68.7
ko,MiniLM-L12-v2,64,60.18
ko,MiniLM-L12-v2,128,60.18
ko,MiniLM-L12-v2,256,60.18
mi,MiniLM-L12-v2,64,0.42
mi,MiniLM-L12-v2,128,0.42
mi,MiniLM-L12-v2,256,0.42
nl,MiniLM-L12-v2,64,59.46
nl,MiniLM-L12-v2,128,59.46
nl,MiniLM-L12-v2,256,59.46
no,MiniLM-L12-v2,64,62.3
no,MiniLM-L12-v2,128,62.3
no,MiniLM-L12-v2,256,62.3
pl,MiniLM-L12-v2,64,62.43
pl,MiniLM-L12-v2,128,62.43
pl,MiniLM-L12-v2,256,62.43
pt,MiniLM-L12-v2,64,62.05
pt,MiniLM-L12-v2,128,62.06
pt,MiniLM-L12-v2,256,62.06
quz,MiniLM-L12-v2,64,3.21
quz,MiniLM-L12-v2,128,3.21
quz,MiniLM-L12-v2,256,3.21
ro,MiniLM-L12-v2,64,62.4
ro,MiniLM-L12-v2,128,62.46
ro,MiniLM-L12-v2,256,62.46
ru,MiniLM-L12-v2,64,69.88
ru,MiniLM-L12-v2,128,69.88
ru,MiniLM-L12-v2,256,69.88
sv,MiniLM-L12-v2,64,62.19
sv,MiniLM-L12-v2,128,62.19
sv,MiniLM-L12-v2,256,62.19
sw,MiniLM-L12-v2,64,3.8
sw,MiniLM-L12-v2,128,3.8
sw,MiniLM-L12-v2,256,3.8
te,MiniLM-L12-v2,64,12.67
te,MiniLM-L12-v2,128,12.67
te,MiniLM-L12-v2,256,12.67
th,MiniLM-L12-v2,64,69.47
th,MiniLM-L12-v2,128,69.47
th,MiniLM-L12-v2,256,69.47
tr,MiniLM-L12-v2,64,61.27
tr,MiniLM-L12-v2,128,61.34
tr,MiniLM-L12-v2,256,61.34
uk,MiniLM-L12-v2,64,63.62
uk,MiniLM-L12-v2,128,63.69
uk,MiniLM-L12-v2,256,63.69
vi,MiniLM-L12-v2,64,70.69
vi,MiniLM-L12-v2,128,70.69
vi,MiniLM-L12-v2,256,70.69
zh,MiniLM-L12-v2,64,71.41
zh,MiniLM-L12-v2,128,71.41
zh,MiniLM-L12-v2,256,71.41
ar,e5-base (query:),64,39.22
ar,e5-base (query:),128,39.22
ar,e5-base (query:),256,39.22
bn,e5-base (query:),64,29.58
bn,e5-base (query:),128,29.58
bn,e5-base (query:),256,29.58
cs,e5-base (query:),64,42.31
cs,e5-base (query:),128,42.31
cs,e5-base (query:),256,42.31
da,e5-base (query:),64,50.96
da,e5-base (query:),128,50.96
da,e5-base (query:),256,50.96
de,e5-base (query:),64,55.69
de,e5-base (query:),128,55.69
de,e5-base (query:),256,55.69
el,e5-base (query:),64,34.61
el,e5-base (query:),128,34.61
el,e5-base (query:),256,34.61
en,e5-base (query:),64,65.04
en,e5-base (query:),128,65.04
en,e5-base (query:),256,65.04
es,e5-base (query:),64,56.04
es,e5-base (query:),128,56.04
es,e5-base (query:),256,56.04
fa,e5-base (query:),64,46.58
fa,e5-base (query:),128,46.57
fa,e5-base (query:),256,46.57
fi,e5-base (query:),64,39.12
fi,e5-base (query:),128,39.12
fi,e5-base (query:),256,39.12
fil,e5-base (query:),64,29.47
fil,e5-base (query:),128,29.46
fil,e5-base (query:),256,29.46
fr,e5-base (query:),64,57.05
fr,e5-base (query:),128,57.05
fr,e5-base (query:),256,57.05
he,e5-base (query:),64,36.88
he,e5-base (query:),128,36.88
he,e5-base (query:),256,36.88
hi,e5-base (query:),64,29.98
hi,e5-base (query:),128,29.98
hi,e5-base (query:),256,29.98
hr,e5-base (query:),64,43.06
hr,e5-base (query:),128,43.06
hr,e5-base (query:),256,43.06
hu,e5-base (query:),64,44.07
hu,e5-base (query:),128,44.08
hu,e5-base (query:),256,44.08
id,e5-base (query:),64,52.65
id,e5-base (query:),128,52.65
id,e5-base (query:),256,52.65
it,e5-base (query:),64,49.33
it,e5-base (query:),128,49.33
it,e5-base (query:),256,49.33
ja,e5-base (query:),64,50.41
ja,e5-base (query:),128,50.4
ja,e5-base (query:),256,50.4
ko,e5-base (query:),64,59.15
ko,e5-base (query:),128,59.15
ko,e5-base (query:),256,59.15
mi,e5-base (query:),64,7.23
mi,e5-base (query:),128,7.21
mi,e5-base (query:),256,7.21
nl,e5-base (query:),64,49.68
nl,e5-base (query:),128,49.68
nl,e5-base (query:),256,49.68
no,e5-base (query:),64,50.87
no,e5-base (query:),128,50.87
no,e5-base (query:),256,50.87
pl,e5-base (query:),64,46.51
pl,e5-base (query:),128,46.51
pl,e5-base (query:),256,46.51
pt,e5-base (query:),64,44.97
pt,e5-base (query:),128,44.97
pt,e5-base (query:),256,44.97
quz,e5-base (query:),64,6.14
quz,e5-base (query:),128,6.15
