model,preproc,lang,R10,mAP10
offline e5-base (query:),native(1bit head),id,52.65,
server so400m+ft113,"orig-case(buggy,1bit)",id,85.56,
so400m text tower,lowercased(FIX),it,96.26,82.46
so400m text tower,orig-case(buggy),it,90.12,
"offline e5-small (C1, no-prefix)",native(1bit head),it,40.73,
offline MiniLM-L12-v2,native(1bit head),it,61.68,
offline e5-base (query:),native(1bit head),it,49.33,
server so400m+ft113,"orig-case(buggy,1bit)",it,81.64,
so400m text tower,lowercased(FIX),ja,80.65,58.71
so400m text tower,orig-case(buggy),ja,80.6,
"offline e5-small (C1, no-prefix)",native(1bit head),ja,42.34,
offline MiniLM-L12-v2,native(1bit head),ja,68.7,
offline e5-base (query:),native(1bit head),ja,50.41,
server so400m+ft113,"orig-case(buggy,1bit)",ja,74.92,
so400m text tower,lowercased(FIX),ko,88.93,69.5
so400m text tower,orig-case(buggy),ko,88.89,
"offline e5-small (C1, no-prefix)",native(1bit head),ko,54.16,
offline MiniLM-L12-v2,native(1bit head),ko,60.18,
offline e5-base (query:),native(1bit head),ko,59.15,
server so400m+ft113,"orig-case(buggy,1bit)",ko,83.8,
so400m text tower,lowercased(FIX),mi,1.5,0.6
so400m text tower,orig-case(buggy),mi,1.06,
"offline e5-small (C1, no-prefix)",native(1bit head),mi,5.52,
offline MiniLM-L12-v2,native(1bit head),mi,0.42,
offline e5-base (query:),native(1bit head),mi,7.23,
server so400m+ft113,"orig-case(buggy,1bit)",mi,1.48,
so400m text tower,lowercased(FIX),nl,90.64,71.66
so400m text tower,orig-case(buggy),nl,79.55,
"offline e5-small (C1, no-prefix)",native(1bit head),nl,40.13,
offline MiniLM-L12-v2,native(1bit head),nl,59.46,
offline e5-base (query:),native(1bit head),nl,49.68,
server so400m+ft113,"orig-case(buggy,1bit)",nl,71.73,
so400m text tower,lowercased(FIX),no,90.0,70.53
so400m text tower,orig-case(buggy),no,79.29,
"offline e5-small (C1, no-prefix)",native(1bit head),no,36.07,
offline MiniLM-L12-v2,native(1bit head),no,62.3,
offline e5-base (query:),native(1bit head),no,50.87,
server so400m+ft113,"orig-case(buggy,1bit)",no,73.73,
so400m text tower,lowercased(FIX),pl,91.63,74.67
so400m text tower,orig-case(buggy),pl,82.44,
"offline e5-small (C1, no-prefix)",native(1bit head),pl,36.21,
offline MiniLM-L12-v2,native(1bit head),pl,62.43,
offline e5-base (query:),native(1bit head),pl,46.51,
server so400m+ft113,"orig-case(buggy,1bit)",pl,76.19,
so400m text tower,lowercased(FIX),pt,93.84,76.76
so400m text tower,orig-case(buggy),pt,84.43,
"offline e5-small (C1, no-prefix)",native(1bit head),pt,42.16,
offline MiniLM-L12-v2,native(1bit head),pt,62.05,
offline e5-base (query:),native(1bit head),pt,44.97,
server so400m+ft113,"orig-case(buggy,1bit)",pt,75.11,
so400m text tower,lowercased(FIX),quz,10.17,5.09
so400m text tower,orig-case(buggy),quz,8.22,
"offline e5-small (C1, no-prefix)",native(1bit head),quz,5.32,
offline MiniLM-L12-v2,native(1bit head),quz,3.21,
offline e5-base (query:),native(1bit head),quz,6.14,
server so400m+ft113,"orig-case(buggy,1bit)",quz,7.69,
so400m text tower,lowercased(FIX),ro,86.52,66.74
so400m text tower,orig-case(buggy),ro,74.95,
"offline e5-small (C1, no-prefix)",native(1bit head),ro,27.4,
offline MiniLM-L12-v2,native(1bit head),ro,62.4,
offline e5-base (query:),native(1bit head),ro,42.82,
server so400m+ft113,"orig-case(buggy,1bit)",ro,67.28,
so400m text tower,lowercased(FIX),ru,96.65,82.84
so400m text tower,orig-case(buggy),ru,90.97,
"offline e5-small (C1, no-prefix)",native(1bit head),ru,43.6,
offline MiniLM-L12-v2,native(1bit head),ru,69.88,
offline e5-base (query:),native(1bit head),ru,53.4,
server so400m+ft113,"orig-case(buggy,1bit)",ru,84.01,
so400m text tower,lowercased(FIX),sv,88.84,70.66
so400m text tower,orig-case(buggy),sv,79.18,
"offline e5-small (C1, no-prefix)",native(1bit head),sv,37.21,
offline MiniLM-L12-v2,native(1bit head),sv,62.19,
offline e5-base (query:),native(1bit head),sv,51.08,
server so400m+ft113,"orig-case(buggy,1bit)",sv,75.69,
so400m text tower,lowercased(FIX),sw,21.96,11.88
so400m text tower,orig-case(buggy),sw,14.62,
"offline e5-small (C1, no-prefix)",native(1bit head),sw,16.43,
offline MiniLM-L12-v2,native(1bit head),sw,3.8,
offline e5-base (query:),native(1bit head),sw,20.38,
server so400m+ft113,"orig-case(buggy,1bit)",sw,13.87,
so400m text tower,lowercased(FIX),te,4.6,1.82
so400m text tower,orig-case(buggy),te,4.6,
"offline e5-small (C1, no-prefix)",native(1bit head),te,26.29,
offline MiniLM-L12-v2,native(1bit head),te,12.67,
offline e5-base (query:),native(1bit head),te,28.39,
server so400m+ft113,"orig-case(buggy,1bit)",te,6.17,
so400m text tower,lowercased(FIX),th,60.92,38.47
so400m text tower,orig-case(buggy),th,60.04,
"offline e5-small (C1, no-prefix)",native(1bit head),th,39.44,
offline MiniLM-L12-v2,native(1bit head),th,69.47,
offline e5-base (query:),native(1bit head),th,48.35,
server so400m+ft113,"orig-case(buggy,1bit)",th,57.46,
so400m text tower,lowercased(FIX),tr,87.06,67.18
so400m text tower,orig-case(buggy),tr,80.02,
"offline e5-small (C1, no-prefix)",native(1bit head),tr,29.7,
offline MiniLM-L12-v2,native(1bit head),tr,61.27,
offline e5-base (query:),native(1bit head),tr,43.63,
server so400m+ft113,"orig-case(buggy,1bit)",tr,73.47,
so400m text tower,lowercased(FIX),uk,88.09,69.06
so400m text tower,orig-case(buggy),uk,77.51,
"offline e5-small (C1, no-prefix)",native(1bit head),uk,31.31,
offline MiniLM-L12-v2,native(1bit head),uk,63.62,
offline e5-base (query:),native(1bit head),uk,46.87,
server so400m+ft113,"orig-case(buggy,1bit)",uk,71.19,
so400m text tower,lowercased(FIX),vi,94.91,79.15
so400m text tower,orig-case(buggy),vi,90.97,
"offline e5-small (C1, no-prefix)",native(1bit head),vi,40.11,
offline MiniLM-L12-v2,native(1bit head),vi,70.69,
offline e5-base (query:),native(1bit head),vi,56.59,
server so400m+ft113,"orig-case(buggy,1bit)",vi,86.99,
so400m text tower,lowercased(FIX),zh,81.96,61.03
so400m text tower,orig-case(buggy),zh,81.92,
"offline e5-small (C1, no-prefix)",native(1bit head),zh,38.64,
offline MiniLM-L12-v2,native(1bit head),zh,71.41,
offline e5-base (query:),native(1bit head),zh,50.56,
server so400m+ft113,"orig-case(buggy,1bit)",zh,76.3,
