source,rank,singular_value,var_frac
distillation,3,10.27312,0.039008
distillation,4,9.717652,0.034904
distillation,5,9.379587,0.032517
distillation,6,8.511859,0.026779
distillation,7,8.12004,0.024371
distillation,8,7.779509,0.022369
distillation,9,7.250554,0.019431
distillation,10,7.096634,0.018615
distillation,11,6.914748,0.017673
distillation,12,6.884537,0.017519
distillation,13,6.682999,0.016508
distillation,14,6.629002,0.016242
distillation,15,6.593482,0.016069
distillation,16,6.53288,0.015775
distillation,17,6.297202,0.014657
distillation,18,5.942883,0.013054
distillation,19,5.832217,0.012572
distillation,20,5.700362,0.01201
distillation,21,5.610004,0.011633
distillation,22,5.456661,0.011005
distillation,23,5.425527,0.01088
distillation,24,5.339904,0.010539
distillation,25,5.264543,0.010244
distillation,26,5.226551,0.010097
distillation,27,5.117915,0.009681
distillation,28,5.08353,0.009552
distillation,29,4.997852,0.009232
distillation,30,4.924067,0.008962
distillation,31,4.819561,0.008585
distillation,32,4.786913,0.00847
distillation,33,4.646965,0.007982
distillation,34,4.613733,0.007868
distillation,35,4.565455,0.007704
distillation,36,4.512993,0.007528
distillation,37,4.473068,0.007395
distillation,38,4.413764,0.007201
distillation,39,4.366873,0.007048
distillation,40,4.345737,0.00698
distillation,41,4.258709,0.006704
distillation,42,4.224775,0.006597
distillation,43,4.179473,0.006456
distillation,44,4.104897,0.006228
distillation,45,4.08434,0.006166
distillation,46,4.042022,0.006039
distillation,47,4.01312,0.005953
distillation,48,3.970983,0.005828
distillation,49,3.90304,0.005631
distillation,50,3.875991,0.005553
distillation,51,3.833794,0.005433
distillation,52,3.778463,0.005277
distillation,53,3.74448,0.005182
distillation,54,3.70846,0.005083
distillation,55,3.691252,0.005036
distillation,56,3.659824,0.004951
distillation,57,3.576769,0.004729
distillation,58,3.564085,0.004695
distillation,59,3.537367,0.004625
distillation,60,3.490113,0.004502
distillation,61,3.42199,0.004328
distillation,62,3.368572,0.004194
distillation,63,3.346259,0.004139
distillation,64,3.342044,0.004128
distillation,65,3.27503,0.003964
distillation,66,3.228239,0.003852
distillation,67,3.209897,0.003808
distillation,68,3.180436,0.003739
distillation,69,3.134642,0.003632
distillation,70,3.067997,0.003479
distillation,71,3.053054,0.003445
distillation,72,3.046326,0.00343
distillation,73,2.984668,0.003293
distillation,74,2.940708,0.003196
distillation,75,2.887908,0.003083
distillation,76,2.883507,0.003073
distillation,77,2.838537,0.002978
distillation,78,2.806655,0.002912
distillation,79,2.786919,0.002871
distillation,80,2.756848,0.002809
distillation,81,2.726663,0.002748
distillation,82,2.668483,0.002632
distillation,83,2.65428,0.002604
distillation,84,2.597059,0.002493
distillation,85,2.587416,0.002474
distillation,86,2.573874,0.002449
distillation,87,2.488577,0.002289
distillation,88,2.471593,0.002258
distillation,89,2.443593,0.002207
distillation,90,2.412831,0.002152
distillation,91,2.365245,0.002068
distillation,92,2.341316,0.002026
distillation,93,2.320984,0.001991
distillation,94,2.252238,0.001875
distillation,95,2.212241,0.001809
distillation,96,2.197539,0.001785
distillation,97,2.173827,0.001747
distillation,98,2.129839,0.001677
distillation,99,2.093457,0.00162
distillation,100,2.081486,0.001601
distillation,101,2.015244,0.001501
distillation,102,1.984267,0.001455
distillation,103,1.926921,0.001372
distillation,104,1.915793,0.001357
distillation,105,1.844391,0.001257
distillation,106,1.833028,0.001242
distillation,107,1.798605,0.001196
distillation,108,1.789128,0.001183
distillation,109,1.73256,0.001109
distillation,110,1.714874,0.001087
distillation,111,1.634826,0.000988
distillation,112,1.623284,0.000974
distillation,113,1.5944,0.00094
distillation,114,1.553799,0.000892
distillation,115,1.53199,0.000867
distillation,116,1.466353,0.000795
distillation,117,1.446443,0.000773
distillation,118,1.433429,0.000759
distillation,119,1.426666,0.000752
distillation,120,1.387884,0.000712
