path,success,hmargin,diralign
ceiling,1,25,0.27528
ceiling,1,62,0.36641
ceiling,1,48,0.31379
ceiling,0,-142,0.1439
ceiling,1,1,0.30858
ceiling,1,17,0.29384
ceiling,1,47,0.32392
ceiling,1,-39,0.23706
ceiling,1,-12,0.24407
ceiling,1,35,0.30542
ceiling,1,10,0.27173
ceiling,0,-85,0.20718
ceiling,0,-92,0.20957
ceiling,0,-60,0.21387
ceiling,1,-78,0.25043
ceiling,1,13,0.31084
ceiling,1,-1,0.25786
ceiling,1,-2,0.23471
ceiling,1,29,0.22363
ceiling,1,16,0.28612
ceiling,0,-38,0.21045
ceiling,1,27,0.2911
ceiling,1,102,0.36065
ceiling,1,80,0.3283
ceiling,1,-9,0.26127
ceiling,1,12,0.30082
ceiling,1,-60,0.25176
ceiling,1,13,0.27621
ceiling,1,4,0.30885
ceiling,0,-100,0.18174
ceiling,1,-20,0.34856
ceiling,1,42,0.28255
ceiling,1,-39,0.2913
ceiling,0,-182,0.11201
ceiling,1,-21,0.27956
ceiling,1,35,0.32321
ceiling,1,-26,0.18787
ceiling,1,2,0.29991
ceiling,0,-96,0.17113
ceiling,1,20,0.31943
ceiling,1,57,0.32245
ceiling,1,-44,0.28064
ceiling,1,89,0.33951
ceiling,1,-44,0.28798
ceiling,1,88,0.31844
ceiling,1,35,0.33187
ceiling,1,-3,0.30053
ceiling,1,-5,0.27356
ceiling,1,-1,0.26972
ceiling,1,-8,0.27321
ceiling,1,-47,0.24682
ceiling,1,58,0.35076
ceiling,1,4,0.26898
ceiling,1,3,0.27663
ceiling,1,0,0.24785
ceiling,1,-25,0.21286
ceiling,0,-80,0.181
ceiling,0,-95,0.16599
ceiling,1,-60,0.26824
ceiling,1,34,0.25885
ceiling,1,7,0.34443
ceiling,1,-58,0.22459
ceiling,1,-2,0.28771
ceiling,0,-53,0.18048
ceiling,1,19,0.28793
ceiling,1,-21,0.23824
ceiling,1,23,0.28317
ceiling,1,-48,0.25772
ceiling,1,-22,0.27662
ceiling,0,-119,0.19793
ceiling,1,10,0.35073
ceiling,1,16,0.29421
ceiling,1,62,0.3148
ceiling,1,-85,0.25382
ceiling,1,12,0.33806
ceiling,1,-50,0.28141
ceiling,1,27,0.32964
ceiling,1,21,0.34493
ceiling,1,53,0.3071
ceiling,1,17,0.30551
ceiling,1,24,0.255
ceiling,1,-15,0.26238
ceiling,0,-110,0.17732
ceiling,1,-10,0.20659
ceiling,1,-39,0.29625
ceiling,1,55,0.27075
ceiling,1,84,0.27792
ceiling,1,-60,0.22805
ceiling,1,105,0.32185
ceiling,1,62,0.3014
ceiling,1,39,0.3057
ceiling,1,-5,0.27621
ceiling,1,41,0.23364
ceiling,1,21,0.27831
ceiling,1,51,0.27662
ceiling,1,-65,0.24399
ceiling,1,-1,0.28039
ceiling,1,16,0.33785
ceiling,1,33,0.31933
ceiling,1,81,0.32098
ceiling,1,110,0.34225
ceiling,1,-39,0.21315
ceiling,1,21,0.3022
ceiling,1,-54,0.23444
ceiling,0,-79,0.05345
ceiling,1,-18,0.31202
ceiling,0,-88,0.19939
ceiling,1,-6,0.30328
ceiling,1,96,0.31946
ceiling,1,13,0.37976
ceiling,1,-5,0.36244
ceiling,1,-12,0.30549
ceiling,1,95,0.35166
ceiling,1,4,0.27552
ceiling,1,135,0.34231
ceiling,1,-29,0.27882
ceiling,1,-35,0.1961
ceiling,1,-86,0.24616
ceiling,1,-37,0.25142
ceiling,0,-71,0.25467
ceiling,1,-19,0.30844
ceiling,1,-9,0.29579
ceiling,0,-71,0.22523
ceiling,1,-19,0.28508
ceiling,1,20,0.2771
ceiling,1,22,0.3246
ceiling,1,-15,0.27986
ceiling,1,-23,0.25655
ceiling,1,-6,0.34036
ceiling,0,-97,0.20966
ceiling,1,50,0.30324
ceiling,0,-92,0.21574
ceiling,0,-48,0.24444
ceiling,0,-117,0.22475
ceiling,1,-87,0.24958
ceiling,1,-20,0.26812
ceiling,1,29,0.32825
ceiling,1,19,0.35032
ceiling,1,99,0.30609
ceiling,0,-216,0.12855
ceiling,1,17,0.28343
ceiling,1,45,0.31344
ceiling,1,74,0.32312
ceiling,1,37,0.30431
ceiling,1,-31,0.31501
ceiling,1,3,0.29632
ceiling,1,-19,0.26086
ceiling,1,-4,0.28234
ceiling,0,-113,0.17645
ceiling,1,-61,0.27877
ceiling,1,37,0.30256
ceiling,1,3,0.30538
ceiling,1,14,0.2878
ceiling,1,7,0.28583
ceiling,1,-13,0.28791
ceiling,1,-14,0.22706
ceiling,1,16,0.28502
ceiling,1,37,0.3318
ceiling,1,-21,0.26838
ceiling,1,-35,0.27563
ceiling,0,-54,0.23384
ceiling,1,-23,0.31416
ceiling,1,11,0.29444
ceiling,1,-11,0.3041
ceiling,0,-60,0.22914
ceiling,0,-145,0.19685
ceiling,1,-23,0.19964
ceiling,1,83,0.35678
ceiling,1,-21,0.31608
ceiling,0,-88,0.2225
ceiling,1,-49,0.2676
ceiling,1,66,0.30449
ceiling,1,29,0.33869
ceiling,0,-71,0.22015
ceiling,1,-11,0.23188
ceiling,1,83,0.32805
ceiling,1,9,0.32023
ceiling,1,-9,0.24275
ceiling,1,-12,0.28704
ceiling,0,-102,0.17812
ceiling,1,89,0.35651
