path,kind,ham_bin,count
distillation,nearest_wrong,435,0
distillation,nearest_wrong,448,0
distillation,nearest_wrong,460,0
distillation,nearest_wrong,473,0
distillation,nearest_wrong,486,0
distillation,nearest_wrong,499,0
distillation,nearest_wrong,512,0
distillation,nearest_wrong,524,0
distillation,nearest_wrong,537,0
distillation,nearest_wrong,550,0
distillation,nearest_wrong,563,0
distillation,nearest_wrong,576,0
distillation,nearest_wrong,588,0
distillation,nearest_wrong,601,0
distillation,nearest_wrong,614,0
distillation,nearest_wrong,627,0
distillation,nearest_wrong,640,0
distillation,nearest_wrong,652,0
distillation,nearest_wrong,665,0
distillation,nearest_wrong,678,0
distillation,nearest_wrong,691,0
distillation,nearest_wrong,704,0
distillation,nearest_wrong,716,0
distillation,nearest_wrong,729,0
distillation,nearest_wrong,742,0
distillation,nearest_wrong,755,0
distillation,nearest_wrong,768,0
distillation,nearest_wrong,780,0
distillation,nearest_wrong,793,0
distillation,nearest_wrong,806,0
distillation,nearest_wrong,819,0
distillation,nearest_wrong,832,0
distillation,nearest_wrong,844,0
distillation,nearest_wrong,857,0
distillation,nearest_wrong,870,0
distillation,nearest_wrong,883,0
distillation,nearest_wrong,896,0
distillation,nearest_wrong,908,0
distillation,nearest_wrong,921,0
distillation,nearest_wrong,934,0
distillation,nearest_wrong,947,0
distillation,nearest_wrong,960,0
distillation,nearest_wrong,972,0
distillation,nearest_wrong,985,0
distillation,nearest_wrong,998,0
distillation,nearest_wrong,1011,0
distillation,gap(nwrong-pair),-512,0
distillation,gap(nwrong-pair),-499,0
distillation,gap(nwrong-pair),-486,0
distillation,gap(nwrong-pair),-473,0
distillation,gap(nwrong-pair),-460,0
distillation,gap(nwrong-pair),-448,0
distillation,gap(nwrong-pair),-435,0
distillation,gap(nwrong-pair),-422,0
distillation,gap(nwrong-pair),-409,0
distillation,gap(nwrong-pair),-396,0
distillation,gap(nwrong-pair),-384,0
distillation,gap(nwrong-pair),-371,0
distillation,gap(nwrong-pair),-358,0
distillation,gap(nwrong-pair),-345,0
distillation,gap(nwrong-pair),-332,0
distillation,gap(nwrong-pair),-320,0
distillation,gap(nwrong-pair),-307,0
distillation,gap(nwrong-pair),-294,0
distillation,gap(nwrong-pair),-281,1
distillation,gap(nwrong-pair),-268,1
distillation,gap(nwrong-pair),-256,2
distillation,gap(nwrong-pair),-243,3
distillation,gap(nwrong-pair),-230,4
distillation,gap(nwrong-pair),-217,3
distillation,gap(nwrong-pair),-204,9
distillation,gap(nwrong-pair),-192,18
distillation,gap(nwrong-pair),-179,20
distillation,gap(nwrong-pair),-166,33
distillation,gap(nwrong-pair),-153,32
distillation,gap(nwrong-pair),-140,64
distillation,gap(nwrong-pair),-128,97
distillation,gap(nwrong-pair),-115,137
distillation,gap(nwrong-pair),-102,162
distillation,gap(nwrong-pair),-89,254
distillation,gap(nwrong-pair),-76,284
distillation,gap(nwrong-pair),-64,407
distillation,gap(nwrong-pair),-51,490
distillation,gap(nwrong-pair),-38,488
distillation,gap(nwrong-pair),-25,510
distillation,gap(nwrong-pair),-12,459
distillation,gap(nwrong-pair),0,429
distillation,gap(nwrong-pair),12,348
distillation,gap(nwrong-pair),25,234
distillation,gap(nwrong-pair),38,203
distillation,gap(nwrong-pair),51,114
distillation,gap(nwrong-pair),64,94
distillation,gap(nwrong-pair),76,46
distillation,gap(nwrong-pair),89,33
distillation,gap(nwrong-pair),102,12
distillation,gap(nwrong-pair),115,7
distillation,gap(nwrong-pair),128,2
distillation,gap(nwrong-pair),140,0
distillation,gap(nwrong-pair),153,0
distillation,gap(nwrong-pair),166,0
distillation,gap(nwrong-pair),179,0
distillation,gap(nwrong-pair),192,0
distillation,gap(nwrong-pair),204,0
distillation,gap(nwrong-pair),217,0
distillation,gap(nwrong-pair),230,0
distillation,gap(nwrong-pair),243,0
distillation,gap(nwrong-pair),256,0
distillation,gap(nwrong-pair),268,0
distillation,gap(nwrong-pair),281,0
distillation,gap(nwrong-pair),294,0
distillation,gap(nwrong-pair),307,0
distillation,gap(nwrong-pair),320,0
distillation,gap(nwrong-pair),332,0
distillation,gap(nwrong-pair),345,0
distillation,gap(nwrong-pair),358,0
distillation,gap(nwrong-pair),371,0
distillation,gap(nwrong-pair),384,0
distillation,gap(nwrong-pair),396,0
distillation,gap(nwrong-pair),409,0
distillation,gap(nwrong-pair),422,0
distillation,gap(nwrong-pair),435,0
distillation,gap(nwrong-pair),448,0
distillation,gap(nwrong-pair),460,0
distillation,gap(nwrong-pair),473,0
distillation,gap(nwrong-pair),486,0
distillation,gap(nwrong-pair),499,0
head-adapt,pair,0,0
head-adapt,pair,12,0
head-adapt,pair,25,0
head-adapt,pair,38,0
head-adapt,pair,51,0
head-adapt,pair,64,0
head-adapt,pair,76,0
head-adapt,pair,89,0
head-adapt,pair,102,1
head-adapt,pair,115,4
head-adapt,pair,128,16
head-adapt,pair,140,72
head-adapt,pair,153,142
head-adapt,pair,166,245
head-adapt,pair,179,315
head-adapt,pair,192,424
head-adapt,pair,204,485
head-adapt,pair,217,578
head-adapt,pair,230,518
head-adapt,pair,243,474
head-adapt,pair,256,390
head-adapt,pair,268,313
head-adapt,pair,281,240
head-adapt,pair,294,220
head-adapt,pair,307,149
head-adapt,pair,320,127
head-adapt,pair,332,79
head-adapt,pair,345,66
head-adapt,pair,358,47
head-adapt,pair,371,31
head-adapt,pair,384,17
head-adapt,pair,396,10
head-adapt,pair,409,10
head-adapt,pair,422,8
head-adapt,pair,435,5
head-adapt,pair,448,6
head-adapt,pair,460,1
head-adapt,pair,473,0
head-adapt,pair,486,2
head-adapt,pair,499,1
head-adapt,pair,512,2
head-adapt,pair,524,0
head-adapt,pair,537,1
head-adapt,pair,550,1
head-adapt,pair,563,0
head-adapt,pair,576,0
head-adapt,pair,588,0
head-adapt,pair,601,0
head-adapt,pair,614,0
head-adapt,pair,627,0
head-adapt,pair,640,0
head-adapt,pair,652,0
head-adapt,pair,665,0
head-adapt,pair,678,0
head-adapt,pair,691,0
head-adapt,pair,704,0
head-adapt,pair,716,0
head-adapt,pair,729,0
head-adapt,pair,742,0
head-adapt,pair,755,0
head-adapt,pair,768,0
head-adapt,pair,780,0
head-adapt,pair,793,0
head-adapt,pair,806,0
head-adapt,pair,819,0
head-adapt,pair,832,0
head-adapt,pair,844,0
head-adapt,pair,857,0
head-adapt,pair,870,0
head-adapt,pair,883,0
head-adapt,pair,896,0
head-adapt,pair,908,0
head-adapt,pair,921,0
head-adapt,pair,934,0
head-adapt,pair,947,0
head-adapt,pair,960,0
head-adapt,pair,972,0
head-adapt,pair,985,0
head-adapt,pair,998,0
