path,bit,flip_frac
distillation,488,0.1288
distillation,489,0.1306
distillation,490,0.1116
distillation,491,0.123
distillation,492,0.1364
distillation,493,0.139
distillation,494,0.1392
distillation,495,0.1112
distillation,496,0.1276
distillation,497,0.1396
distillation,498,0.1396
distillation,499,0.123
distillation,500,0.1304
distillation,501,0.136
distillation,502,0.1434
distillation,503,0.1474
distillation,504,0.1422
distillation,505,0.1224
distillation,506,0.109
distillation,507,0.1046
distillation,508,0.142
distillation,509,0.1198
distillation,510,0.142
distillation,511,0.1378
distillation,512,0.1338
distillation,513,0.1214
distillation,514,0.1384
distillation,515,0.1388
distillation,516,0.1104
distillation,517,0.1388
distillation,518,0.1578
distillation,519,0.134
distillation,520,0.1282
distillation,521,0.148
distillation,522,0.1302
distillation,523,0.1444
distillation,524,0.166
distillation,525,0.1316
distillation,526,0.1428
distillation,527,0.1106
distillation,528,0.144
distillation,529,0.1264
distillation,530,0.141
distillation,531,0.1234
distillation,532,0.1246
distillation,533,0.1086
distillation,534,0.1324
distillation,535,0.1338
distillation,536,0.1534
distillation,537,0.1238
distillation,538,0.1316
distillation,539,0.1256
distillation,540,0.1372
distillation,541,0.125
distillation,542,0.1098
distillation,543,0.1262
distillation,544,0.138
distillation,545,0.1418
distillation,546,0.1452
distillation,547,0.135
distillation,548,0.156
distillation,549,0.1366
distillation,550,0.1332
distillation,551,0.1322
distillation,552,0.1162
distillation,553,0.1352
distillation,554,0.1028
distillation,555,0.1302
distillation,556,0.1358
distillation,557,0.1118
distillation,558,0.1338
distillation,559,0.1398
distillation,560,0.1282
distillation,561,0.1534
distillation,562,0.1428
distillation,563,0.1274
distillation,564,0.1424
distillation,565,0.1256
distillation,566,0.144
distillation,567,0.1494
distillation,568,0.126
distillation,569,0.1392
distillation,570,0.1292
distillation,571,0.139
distillation,572,0.1316
distillation,573,0.1408
distillation,574,0.1556
distillation,575,0.1182
distillation,576,0.134
distillation,577,0.1262
distillation,578,0.1046
distillation,579,0.1268
distillation,580,0.14
distillation,581,0.1294
distillation,582,0.1438
distillation,583,0.1466
distillation,584,0.1324
distillation,585,0.1328
distillation,586,0.1226
distillation,587,0.1366
distillation,588,0.1348
distillation,589,0.14
distillation,590,0.135
distillation,591,0.1398
distillation,592,0.1256
distillation,593,0.137
distillation,594,0.1378
distillation,595,0.1402
distillation,596,0.1346
distillation,597,0.132
distillation,598,0.1378
distillation,599,0.1338
distillation,600,0.1416
distillation,601,0.1332
distillation,602,0.129
distillation,603,0.1476
distillation,604,0.159
distillation,605,0.1354
distillation,606,0.1396
distillation,607,0.1298
distillation,608,0.1126
distillation,609,0.1288
distillation,610,0.1442
distillation,611,0.1246
